,,,,,,Specification,,,,,,Image,,
SL NO,Product name,Short Description,Details,Per Unit Price,SKU,Country of Manufacture,Color,Brand,Warranty Information,Model,BTU/h & Type,image path,Image name,Category
1,Midea MSM 12 HRI Inveter Split Type Air Conditoner - 1 Ton,"Power Supply V~, Hz, Ph: 220-240, 50, 1
Inverter Type: 3D DC
Cooling Capacity Rated Btu/h: 12000
Cooling Capacity Rated kW: 7.0
SEER W/W: 6.2
SCOP Avg./Warm/Cold W/W: 4.0/5.1/--
Tol °C: -15","Midea MSM12 1 Ton Air Conditioner can be a perfect choice for you and your family with its cutting-edge features. This 1 ton AC can be a suitable addition to your home or your office during those hot summer months.

The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called «Arctic Fox – including setting with indoor units. The development of forms and functional remote control and to attract the best world experts in the field of ergonomics and industrial design, display remote indicator has increased by 27% the area of display graphics, system icons. Units at  Mission series are available as a split system with inverter-type compressor and capacities  9,12,18,24 Btu/h, with a special new “Diamond” design of the outdoor unit, as well as the indoor units of multi-split “Free-match” DC-inverter systems, with a capacity  9, 12, 18 Btu/h.

",35000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MSM 12,12000 BTU/h SPLIT TYPE,E:\Noor Trade,"media-1-ton-air-conditioner-2_1_2_2.jpg, media-1-ton-air-conditioner-7_1_2_2.jpg, media-1-ton-air-conditioner-1_1_2_2.jpg, media-1-ton-air-conditioner-6_1_2_2.jpg, media-1-ton-air-conditioner-3_1_2_2.jpg","Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
2,Midea MSM 18 HRI Inveter Split Type Air Conditoner- 1.5 Ton,"Power Supply: 1Ph,220~230V, 50Hz
Control: Remote
Function: Cooling
Capacity (BTU/h) :18000
Input Watt: 1800
Air Flow (m3 /h) :530
","Midea MSM18 1.5 Ton Air Conditioner can be a perfect choice for you and your family with its cutting-edge features. This 1.5 ton AC can be a suitable addition to your home or your office during those hot summer months.

The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called «Arctic Fox – including setting with indoor units.

Indoor Unit 
Air Flow Volume m3/h: 1080/850/600
Sound Pressure Noise Level H/M/L dB(A): 48/43/39
Outdoor
Sound Power Noise Level Hi dB(A): 64
Sound Pressure Noise Level Hi dB(A): 62
Sound Power Noise Level Hi dB(A): 69",42000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MSM 18,18000 BTU/h SPLIT TYPE,E:\Noor Trade,"media-1-ton-air-conditioner-2_1_1_1_1.jpg, media-1-ton-air-conditioner-3_1_1_1_1.jpg, media-1-ton-air-conditioner-6_1_1_1_1.jpg, media-1-ton-air-conditioner-7_1_1_1_1.jpg","Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
3,Midea MSM 24 HRI Inveter Split Type Air Conditoner - 2 Ton,"
Model: MSM-24HRI
Capacity: 2 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 24000 btu
Heating Capacity: 26000 btu
Max Input consumption: 3700w
Compressor Type: Rotary
Remote Control
","Auto Restart Function, Temp Compensation, Turbo Mode, Cold Catalyst Filter, Sleep Mode, Anti-rust Cabinet, Independent Dehumidification, Louber Position Memory Function, Diamond Shape Outdoor.The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called Arctic Fox – including setting with indoor units. The development of forms and functional remote control and to attract the best world experts in the field of ergonomics and industrial design, display remote indicator has increased by 27% the area of display graphics, system icons.This type of air conditioners is the most popular as a compressor and a condenser cooling fan (located in the outer, “street” block) are separated from the evaporator blower (located in the interior, “indoor” unit).

",56000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MSM 24,24000 BTU/h SPLIT TYPE,E:\Noor Trade,9aaf517637743b38b987d5212f270df2.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
4,Midea MSA 30 CRN1 Non Inveter Split Type Air Conditoner - 2.5 Ton,"
Model: MSA-30CRN1
Capacity: 2.5 ton
Power Supply: 220-240V- 50Hz, 1Ph
Cooling Capacity: 30000 btu
Max Input consumption: 4500W
Compressor Type: Rotary
Remote Control
","Auto Restart Function, Temp Compensation, Turbo Mode, Cold Catalyst Filter, Sleep Mode, Anti-rust Cabinet, Independent Dehumidification, Louber Position Memory Function, Diamond Shape Outdoor.The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called Arctic Fox – including setting with indoor units. The development of forms and functional remote control and to attract the best world experts in the field of ergonomics and industrial design, display remote indicator has increased by 27% the area of display graphics, system icons. This type of air conditioners is the most popular as a compressor and a condenser cooling fan are separated from the evaporator blower.

",71550,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MSA 30 CRN1,30000 BTU/h SPLIT TYPE,E:\Noor Trade,9aaf517637743b38b987d5212f270df2.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
5,Midea MSM 12 HRI Inveter Split Type Air Conditoner - 1 Ton,"Model: MSM-12 HRI
Capacity: 1 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 12000 btu
Heating Capacity: 13000 btu
Max Input consumption: 2050w
Compressor Type: Rotary
Remote Control","Auto Restart Function, Temp Compensation, Turbo Mode, Cold Catalyst Filter, Sleep Mode, Anti-rust Cabinet, Independent Dehumidification, Louber Position Memory Function, Diamond Shape Outdoor.The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called Arctic Fox – including setting with indoor units. The development of forms and functional remote control and to attract the best world experts in the field of ergonomics and industrial design, display remote indicator has increased by 27% the area of display graphics, system icons.This type of air conditioners is the most popular as a compressor and a condenser cooling fan (located in the outer, “street” block) are separated from the evaporator blower (located in the interior, “indoor” unit).

",39150,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MSM 12 HRI,12000 BTU/h SPLIT TYPE INVERTER,E:\Noor Trade,9aaf517637743b38b987d5212f270df2.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
6,Midea MSM 18 HRI Inveter Split Type Air Conditoner- 1.5 Ton,"Model: MSM-18HRI
Capacity: 1.5 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 18000 btu
Heating Capacity: 19000 btu
Max Input consumption: 2750w
Compressor Type: Rotary
Remote Control","Auto Restart Function, Temp Compensation, Turbo Mode, Cold Catalyst Filter, Sleep Mode, Anti-rust Cabinet, Independent Dehumidification, Louber Position Memory Function, Diamond Shape Outdoor.The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called Arctic Fox – including setting with indoor units. The development of forms and functional remote control and to attract the best world experts in the field of ergonomics and industrial design, display remote indicator has increased by 27% the area of display graphics, system icons.This type of air conditioners is the most popular as a compressor and a condenser cooling fan (located in the outer, “street” block) are separated from the evaporator blower (located in the interior, “indoor” unit).

",49950,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MSM 18 HRI,18000 BTU/h SPLIT TYPE INVERTER,E:\Noor Trade,9aaf517637743b38b987d5212f270df2.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
7,Midea MSM 24 HRI Inveter Split Type Air Conditoner - 2 Ton,"Model: MSM-24HRI
Capacity: 2 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 24000 btu
Heating Capacity: 26000 btu
Max Input consumption: 3700w
Compressor Type: Rotary
Remote Control","Auto Restart Function, Temp Compensation, Turbo Mode, Cold Catalyst Filter, Sleep Mode, Anti-rust Cabinet, Independent Dehumidification, Louber Position Memory Function, Diamond Shape Outdoor.The power systems are made in the “universal” and modern design, familiar to most users, the development was carried out on the basis of data for the study of consumer needs around the world. Remote controller with the “revolutionary” ergonomic design, which is a manufacturer called Arctic Fox – including setting with indoor units. The development of forms and functional remote control and to attract the best world experts in the field of ergonomics and industrial design, display remote indicator has increased by 27% the area of display graphics, system icons.This type of air conditioners is the most popular as a compressor and a condenser cooling fan (located in the outer, “street” block) are separated from the evaporator blower (located in the interior, “indoor” unit).

",63450,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MSM 24 HRI,24000 BTU/h SPLIT TYPE INVERTER,E:\Noor Trade,9aaf517637743b38b987d5212f270df2.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
8,Midea MUB-36CR Ceiling Type Air Conditoner - 3 Ton,"Model: MUB 36 CRN1
Capacity: 3 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 36000 btu
Compressor Type: Rotary
Remote Control","MIDEA 3.0 TON CEILING TYPE AC

Brand: MIDEA

Origin: CHINA 

Assembled: CHINA 

Condition: Brand New

Type: Split Ceiling

Capacity: 36000BTU/Hr

Coverage- 250 - 360 Sqft

Some feature:

Auto Fan Speed

Auto Mode

Auto Swing

Sleep Mode

Remote Screen Display Light",94500,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MUB 36 CRN1,36000 BTU/h CEILING TYPE,E:\Noor Trade,ceiling.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
9,Midea MUB-48CR Ceiling Type Air Conditoner - 4 Ton,"Model: MUB 48 CRN1
Capacity: 4 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 48000 btu
Compressor Type: Rotary
Remote Control","Model: MUB 48 CRN1
Capacity: 4 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 48000 btu
Compressor Type: Rotary
Remote Control",108000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MUB 48 CRN1,48000 BTU/h CEILING TYPE,E:\Noor Trade,ceiling.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
10,Midea MUB-60CR Ceiling Type Air Conditoner - 5 Ton,"Model: MUB 60 CRN1
Capacity: 5 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 60000 btu
Compressor Type: Rotary
Remote Control","Model: MUB 60 CRN1
Capacity: 5 ton
Power Supply: 220-240V~ 50Hz, 1Ph
Cooling Capacity: 60000 btu
Compressor Type: Rotary
Remote Control",130000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MUB 60 CRN1,60000 BTU/h CEILING TYPE,E:\Noor Trade,ceiling.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
11,Midea MCA 18 CRN1 Cassette Type Air Conditoner - 1.5 Ton,"Noise Level Indoor: 50 DB
Media Cassette Ac 1.5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Cassette Ac 1.5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",60750,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MCA 18 CRN1,18000 BTU/h CASSETE TYPE,E:\Noor Trade,cassette.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
12,Midea MCA 24 CRN1 Cassette Type Air Conditoner - 2 Ton,"Noise Level Indoor: 50 DB
Media Cassette Ac 2 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Cassette Ac 2 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",74250,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MCA 24 CRN1,24000 BTU/h CASSETE TYPE,E:\Noor Trade,cassette.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
13,Midea MCA 30 CRN1 Cassette Type Air Conditoner - 2.5 Ton,"Noise Level Indoor: 50 DB
Media Cassette Ac 2.5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Cassette Ac 2.5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",87750,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MCA 30 CRN1,30000 BTU/h CASSETE TYPE,E:\Noor Trade,cassette.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
14,Midea MCA 36 CRN1 Cassette Type Air Conditoner - 3 Ton,"Noise Level Indoor: 50 DB
Media Cassette Ac 3 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Cassette Ac 3 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",94500,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MCA 36 CRN1,36000 BTU/h CASSETE TYPE,E:\Noor Trade,cassette.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
15,Midea MCA 48 CRN1 Cassette Type Air Conditoner - 4 Ton,"Noise Level Indoor: 50 DB
Media Cassette Ac 4 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Cassette Ac 4 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",108000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MCA 48 CRN1,48000 BTU/h CASSETE TYPE,E:\Noor Trade,cassette.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
16,Midea MCA 60 CRN1 Cassette Type Air Conditoner - 5 Ton,"Noise Level Indoor: 50 DB
Media Cassette Ac 5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Cassette Ac 5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",130000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MCA 60 CRN1,60000 BTU/h CASSETE TYPE,E:\Noor Trade,cassette.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
17,Midea MHC 60 CRN1 Duct Type Air Conditoner - 5 Ton,"Noise Level Indoor: 50 DB
Media Duct Type Ac 5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Duct Type Ac 5 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",130000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MHC 60 CRN1,60000 BTU/h DUCT TYPE,E:\Noor Trade,duct.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
18,Midea MTA 96 CR Duct Type Air Conditoner - 8 Ton,"Noise Level Indoor: 50 DB
Media Duct Type Ac 8 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
","Noise Level Indoor: 50 DB
Media Duct Type Ac 8 Ton :-
Air Direction Control.
Selectable Control Modes.
Supreme Energy Efficiency.
Dehumidifier Function.
Lowest to 0.5W Standby.
Remote Screen Display Light.
Auto fan Speed.Mute Operation.
Temperature Adjustment Digital.
Compact Design and Fashion Metal Panel.
Sleep mode.
Dry Mode.
Bio Filter.
Auto Swing.
Smart sensor.
Anti VOC filter.
3-in-1 Filter.
Auto Restart.
Auto on Timer.
",260000,,China,White,MIDEA,Compressor: 2 years; Spare Parts: 1 year; After Sales Service: 1 year,MTA 96 CR,96000 BTU/h DUCT TYPE,E:\Noor Trade,duct.jpg,"Flow & Level Control>Heating & Cooling>Air Conditioners, Home Appliances>Air Conditioner"
